,state,year,lrmer_co2e_kg_mwh,case
153,ID,2028,426.8,HighRECost
154,ID,2030,453.1,HighRECost
155,ID,2032,435.6,HighRECost
156,ID,2034,449.1,HighRECost
157,ID,2036,439.2,HighRECost
158,ID,2038,454.1,HighRECost
159,ID,2040,419.6,HighRECost
160,ID,2042,432.7,HighRECost
161,ID,2044,367.2,HighRECost
162,ID,2046,325.7,HighRECost
163,ID,2048,249.3,HighRECost
164,ID,2050,257.2,HighRECost
165,IL,2022,554.9,HighRECost
166,IL,2024,505.3,HighRECost
167,IL,2026,409.1,HighRECost
168,IL,2028,412.9,HighRECost
169,IL,2030,420.8,HighRECost
170,IL,2032,420.9,HighRECost
171,IL,2034,424.3,HighRECost
172,IL,2036,436.0,HighRECost
173,IL,2038,456.2,HighRECost
174,IL,2040,460.6,HighRECost
175,IL,2042,456.9,HighRECost
176,IL,2044,437.8,HighRECost
177,IL,2046,425.3,HighRECost
178,IL,2048,375.5,HighRECost
179,IL,2050,358.1,HighRECost
180,IN,2022,649.8,HighRECost
181,IN,2024,583.8,HighRECost
182,IN,2026,453.5,HighRECost
183,IN,2028,439.4,HighRECost
184,IN,2030,452.4,HighRECost
185,IN,2032,445.8,HighRECost
186,IN,2034,470.6,HighRECost
187,IN,2036,485.2,HighRECost
188,IN,2038,533.8,HighRECost
189,IN,2040,535.0,HighRECost
190,IN,2042,542.2,HighRECost
191,IN,2044,511.6,HighRECost
192,IN,2046,479.9,HighRECost
193,IN,2048,424.8,HighRECost
194,IN,2050,405.6,HighRECost
195,KS,2022,829.5,HighRECost
196,KS,2024,658.4,HighRECost
197,KS,2026,451.6,HighRECost
198,KS,2028,407.7,HighRECost
199,KS,2030,483.7,HighRECost
200,KS,2032,429.1,HighRECost
201,KS,2034,462.5,HighRECost
202,KS,2036,394.2,HighRECost
203,KS,2038,436.6,HighRECost
204,KS,2040,377.6,HighRECost
205,KS,2042,448.1,HighRECost
206,KS,2044,378.5,HighRECost
207,KS,2046,287.5,HighRECost
208,KS,2048,139.0,HighRECost
209,KS,2050,132.2,HighRECost
210,KY,2022,701.3,HighRECost
211,KY,2024,624.0,HighRECost
212,KY,2026,477.8,HighRECost
213,KY,2028,454.9,HighRECost
214,KY,2030,443.1,HighRECost
215,KY,2032,411.2,HighRECost
216,KY,2034,433.2,HighRECost
217,KY,2036,455.3,HighRECost
218,KY,2038,507.7,HighRECost
219,KY,2040,512.0,HighRECost
220,KY,2042,521.8,HighRECost
221,KY,2044,494.9,HighRECost
222,KY,2046,459.8,HighRECost
223,KY,2048,418.9,HighRECost
224,KY,2050,408.4,HighRECost
225,LA,2022,715.9,HighRECost
226,LA,2024,633.2,HighRECost
227,LA,2026,492.8,HighRECost
228,LA,2028,435.9,HighRECost
229,LA,2030,424.0,HighRECost
230,LA,2032,431.5,HighRECost
231,LA,2034,475.9,HighRECost
232,LA,2036,494.1,HighRECost
233,LA,2038,500.2,HighRECost
234,LA,2040,498.0,HighRECost
235,LA,2042,506.4,HighRECost
236,LA,2044,485.7,HighRECost
237,LA,2046,449.8,HighRECost
238,LA,2048,392.9,HighRECost
239,LA,2050,366.8,HighRECost
240,MA,2022,653.7,HighRECost
241,MA,2024,565.6,HighRECost
242,MA,2026,398.3,HighRECost
243,MA,2028,370.4,HighRECost
244,MA,2030,350.0,HighRECost
245,MA,2032,334.2,HighRECost
246,MA,2034,321.5,HighRECost
247,MA,2036,311.6,HighRECost
248,MA,2038,300.1,HighRECost
249,MA,2040,288.7,HighRECost
250,MA,2042,278.1,HighRECost
251,MA,2044,266.7,HighRECost
252,MA,2046,252.8,HighRECost
253,MA,2048,233.5,HighRECost
254,MA,2050,223.4,HighRECost
255,MD,2022,515.6,HighRECost
256,MD,2024,469.8,HighRECost
257,MD,2026,406.4,HighRECost
258,MD,2028,385.8,HighRECost
259,MD,2030,344.4,HighRECost
260,MD,2032,336.0,HighRECost
261,MD,2034,285.1,HighRECost
262,MD,2036,283.3,HighRECost
263,MD,2038,253.5,HighRECost
264,MD,2040,258.3,HighRECost
265,MD,2042,261.0,HighRECost
266,MD,2044,265.1,HighRECost
267,MD,2046,266.3,HighRECost
268,MD,2048,271.3,HighRECost
269,MD,2050,268.8,HighRECost
270,ME,2022,600.0,HighRECost
271,ME,2024,491.4,HighRECost
272,ME,2026,283.7,HighRECost
273,ME,2028,246.7,HighRECost
274,ME,2030,217.2,HighRECost
275,ME,2032,205.1,HighRECost
276,ME,2034,205.3,HighRECost
277,ME,2036,216.1,HighRECost
278,ME,2038,217.4,HighRECost
279,ME,2040,221.1,HighRECost
280,ME,2042,222.6,HighRECost
281,ME,2044,224.4,HighRECost
282,ME,2046,223.7,HighRECost
283,ME,2048,217.3,HighRECost
284,ME,2050,212.8,HighRECost
285,MI,2022,577.8,HighRECost
286,MI,2024,533.3,HighRECost
287,MI,2026,445.6,HighRECost
288,MI,2028,437.8,HighRECost
289,MI,2030,427.5,HighRECost
290,MI,2032,429.6,HighRECost
291,MI,2034,451.8,HighRECost
292,MI,2036,468.2,HighRECost
293,MI,2038,469.2,HighRECost
294,MI,2040,456.2,HighRECost
295,MI,2042,457.0,HighRECost
296,MI,2044,465.3,HighRECost
297,MI,2046,475.6,HighRECost
298,MI,2048,467.2,HighRECost
299,MI,2050,459.9,HighRECost
300,MN,2022,640.3,HighRECost
